rubro,producto,precio,unidades_vendidas,facturacion,se_vendio
Carnes y pescados,Pollo Grille,18500,16,296000,Sí
Recomendados,Empanada de Carne Suave,3800,57,216600,Sí
Recomendados,Milanesa de Ternera,21000,7,148800,Sí
Calzones,Calzón Calabrés (pequeño),35800,4,143200,Sí
Carnes y pescados,Pollo al Verdeo,23000,6,138000,Sí
Empanadas,Empanada de Jamón y Queso,3400,33,112200,Sí
Calzones,Calzón Napolitano (pequeño),35800,3,107400,Sí
Pizzas artesanales,Pizza Mozzarella,22600,4,106600,Sí
Pastas,Gnocchi,13600,5,98800,Sí
Carnes y pescados,Suprema Rellena con Papas a la Española,23000,4,92000,Sí
Recomendados,Ojo de Bife,28500,3,85500,Sí
Pizzas artesanales,Pizza Percanta,36200,2,85400,Sí
Recomendados,Percanta (para compartir),28000,3,84000,Sí
Recomendados,Sorrentino (Jamón y Mozzarella),14800,4,83900,Sí
Carnes y pescados,Risotto al Frutti di Mare,27800,3,83400,Sí
Carnes y pescados,American Ribbs,26800,3,80400,Sí
Pizzas artesanales,Pizza Cuatro quesos,33000,2,75600,Sí
Pizzas artesanales,Pizza Mexicana,32800,2,75000,Sí
Pizzas artesanales,Pizza Veneciana,32800,2,75000,Sí
Carnes y pescados,Bife de Costilla,24500,3,73500,Sí
Pizzas artesanales,Pizza Fugazzeta rellena,34100,2,73000,Sí
Vinos y cervezas,Angélica Zapata Malbec,72000,1,72000,Sí
Empanadas,Empanada de Verdura,3400,21,71400,Sí
Pizzas artesanales,Pizza Napolitana,27200,2,70800,Sí
Pizzas artesanales,Vegetariana,32900,2,70500,Sí
Pizzas artesanales,Rúcula y Brie,34600,2,69200,Sí
Carnes y pescados,Risotto Pollo,23000,3,69000,Sí
Ensaladas,Caesar con Pollo,17100,4,68400,Sí
Pizzas artesanales,Pizza Leonesa,33300,2,66600,Sí
Carnes y pescados,Salmón Rosado,32400,2,64800,Sí
Pizzas artesanales,Pizza Jamón y morrones,27600,2,63500,Sí
Pastas,Spaguetti,13400,3,62300,Sí
Pastas,Penne Rigatti,13600,3,61400,Sí
Empanadas,Empanada de Atún,4000,15,60000,Sí
Carnes y pescados,Lomo al Champignon,28500,2,57000,Sí
Carnes y pescados,Bife de Chorizo,26000,2,52000,Sí
Vinos y cervezas,D.V. Catena Malbec-Malbec,52000,1,52000,Sí
Carnes y pescados,Pollo al Curry,25800,2,51600,Sí
Ensaladas,Primavera con Pollo,17100,3,51300,Sí
Empanadas,Empanada de Roquefort,3400,15,51000,Sí
Recomendados,Tabla Percanta,47500,1,47500,Sí
Carnes y pescados,Merluza,22000,2,44000,Sí
Carnes y pescados,Matambrito de Cerdo,21000,2,42000,Sí
Entradas,Bruschetta Tradicional,13800,3,41400,Sí
Carnes y pescados,Wok de Vegetales,20600,2,41200,Sí
Pastas,Spaghetti integral (de morrón y remolacha),13400,2,41200,Sí
Pastas,Spaghetti integral (de espinaca),13400,2,41100,Sí
Carnes y pescados,Suprema de Pollo,19800,2,40800,Sí
Empanadas,Empanada de Choclo,3400,12,40800,Sí
Pastas,Penne Rigatti sin gluten,13600,2,39600,Sí
