pedido,lote,fecha,dia_semana,franja,es_finde,tipo_entrega,metodo_pago,rubro_principal,productos,unidades,total,demora_prometida,demora_real,diferencia,cumplio
LP-260801-S02,S,2026-08-01,Sábado,Cena,Sí,Delivery,Efectivo,Carnes y pescados,2,4,38700,50,51,1,No
LP-260801-S03,S,2026-08-01,Sábado,Merienda,Sí,Delivery,Efectivo,Panadería y dulces,2,3,16300,50,56,6,No
LP-260801-S01,S,2026-08-01,Sábado,Cena,Sí,Delivery,Efectivo,Vinos y cervezas,2,2,21300,50,45,-5,Sí
LP-260801-S05,S,2026-08-01,Sábado,Cena,Sí,Delivery,Efectivo,Carnes y pescados,1,1,20600,50,61,11,No
LP-260801-S04,S,2026-08-01,Sábado,Cena,Sí,Delivery,Efectivo,Pizzas artesanales,1,1,32800,50,54,4,No
LP-260802-S05,S,2026-08-02,Domingo,Almuerzo,Sí,Retiro en local,Mercado Pago,Carnes y pescados,1,2,53600,30,42,12,No
LP-260802-S03,S,2026-08-02,Domingo,Merienda,Sí,Retiro en local,Mercado Pago,Cafetería,1,1,5300,30,25,-5,Sí
LP-260802-S06,S,2026-08-02,Domingo,Merienda,Sí,Retiro en local,Efectivo,Cafetería,1,1,6600,30,39,9,No
LP-260802-S01,S,2026-08-02,Domingo,Cena,Sí,Delivery,Efectivo,Carnes y pescados,3,5,45100,50,47,-3,Sí
LP-260802-S02,S,2026-08-02,Domingo,Cena,Sí,Delivery,Mercado Pago,Vinos y cervezas,2,2,42500,50,30,-20,Sí
LP-260803-S01,S,2026-08-03,Lunes,Cena,No,Delivery,Mercado Pago,Empanadas,2,7,41400,50,38,-12,Sí
LP-260805-S02,S,2026-08-05,Miércoles,Desayuno,No,Retiro en local,Mercado Pago,Panadería y dulces,1,1,5600,30,46,16,No
LP-260805-S01,S,2026-08-05,Miércoles,Cena,No,Delivery,Efectivo,Entradas,2,2,20800,50,28,-22,Sí
LP-260806-S01,S,2026-08-06,Jueves,Cena,No,Delivery,Efectivo,Empanadas,2,13,65110,50,43,-7,Sí
LP-260807-001,R,2026-08-07,Viernes,Madrugada,Sí,Delivery,Efectivo,Hamburguesas,1,1,17400,50,36,-14,Sí
LP-260807-002,R,2026-08-07,Viernes,Madrugada,Sí,Retiro en local,Efectivo,Carnes y pescados,2,2,41400,30,30,0,Sí
LP-260807-S01,S,2026-08-07,Viernes,Almuerzo,Sí,Delivery,Efectivo,Carnes y pescados,3,3,38600,50,71,21,No
