codigo,producto,rubro,precio
0213,Provoleta Clásica,Recomendados,14600
0302,Tabla Percanta,Recomendados,47500
0401,Empanada de Carne Suave,Recomendados,3800
0706,Sorrentino (Jamón y Mozzarella),Recomendados,14800
0804,Milanesa de Ternera,Recomendados,21000
0805,Lomo a la Pimienta Negra,Recomendados,28500
0809,Ojo de Bife,Recomendados,28500
1210,Percanta (para compartir),Recomendados,28000
1410,Chocotorta,Recomendados,8900
1508,Flan casero,Recomendados,8200
0201,Bruschetta Tradicional,Entradas,13800
0202,Bruschetta de Salmón Ahumado,Entradas,16400
0203,Nachos,Entradas,14200
0204,Nachos Mex,Entradas,14600
0205,Romana Rabas (con salsa Provenzal),Entradas,18500
0206,Romana Langostinos,Entradas,20500
0207,Pan de Pizza con Provolone (chico 6 porc.),Entradas,27800
0208,Papas Bravas o Tranquilas (Cheddar fundido),Entradas,13900
0209,Papas Fritas (Provenzal o regular),Entradas,10600
0210,Papa Puré,Entradas,10500
0211,Huevos x 2 (fritos o duros),Entradas,10400
0212,Caldo de Huesos,Entradas,6200
0214,Provoleta Flambeada,Entradas,15200
0215,Mozzarella Flor di Latte,Entradas,15400
0216,Pinchos de pollo grillados (Salsa Tártara),Entradas,14800
0217,Mozzarella Marinara,Entradas,13900
0218,Omelette de Jamón y Queso,Entradas,13900
0219,Omelette Especial,Entradas,14500
0220,Omelette de Zanahoria y Queso,Entradas,14500
0221,Omelette de Espinaca y Queso,Entradas,14500
0222,Tortilla de papa,Entradas,14500
0223,Tortilla española,Entradas,15800
0224,Fainá (porción),Entradas,3300
0225,Fainá Percanta (porción),Entradas,3900
0301,Tablita de Quesos,Tablas,22200
0303,Tablita de Quesos y Fiambres,Tablas,21700
0304,Cazuela Individual,Tablas,11200
0402,Empanada de Carne Picante,Empanadas,3800
0403,Empanada de Pollo,Empanadas,3500
0404,Empanada de Jamón y Queso,Empanadas,3400
0405,Empanada de Verdura,Empanadas,3400
0406,Empanada Caprese,Empanadas,3400
0407,Empanada de Choclo,Empanadas,3400
0408,Empanada de Roquefort,Empanadas,3400
0409,Empanada de Queso y Cebolla,Empanadas,3400
0410,Empanada de Atún,Empanadas,4000
0501,Pizza Mozzarella,Pizzas artesanales,22600
0502,Pizza Napolitana,Pizzas artesanales,27200
0503,Pizza Caprese,Pizzas artesanales,27200
0504,Pizza Mexicana,Pizzas artesanales,32800
0505,Pizza Provolone,Pizzas artesanales,32900
0506,Pizza Roquefort,Pizzas artesanales,32800
0507,Pizza Cuatro quesos,Pizzas artesanales,33000
0508,Pizza Veneciana,Pizzas artesanales,32800
0509,Pizza Calabresa,Pizzas artesanales,32900
0510,Pizza Leonesa,Pizzas artesanales,33300
0511,Pizza Americana,Pizzas artesanales,32900
0512,Pizza Fugazza Cabrona,Pizzas artesanales,32900
0513,Pizza Salmón Ahumado,Pizzas artesanales,39700
0514,Pizza Salmón Ahumado y Brie,Pizzas artesanales,41500
0515,Pizza Anchoas,Pizzas artesanales,34100
0516,Pizza Atún,Pizzas artesanales,34100
0517,Pizza Percanta,Pizzas artesanales,36200
0518,Pizza Margarita,Pizzas artesanales,27400
0519,Pizza Jamón y morrones,Pizzas artesanales,27600
0520,Pizza Sorrentina,Pizzas artesanales,27500
0521,Pizza Fugazza,Pizzas artesanales,27100
0522,Pizza Fugazza con mozzarella,Pizzas artesanales,27200
0523,Pizza Fugazza morada,Pizzas artesanales,27300
0524,Pizza Fugazzeta rellena,Pizzas artesanales,34100
0525,Pizza Vegetariana,Pizzas artesanales,32900
0526,"Pizza Rúcula, Crudo y parmesano",Pizzas artesanales,34100
0527,Pizza Rúcula y Brie,Pizzas artesanales,34600
0528,Pizza Rúcula/Tomates Confitados,Pizzas artesanales,34100
0529,Pizza Palmitos,Pizzas artesanales,33900
0530,Pizza Champignon,Pizzas artesanales,33900
0531,Pizza Mediterránea,Pizzas artesanales,32900
0532,Pizza Espárragos a la Parmesana,Pizzas artesanales,33100
0533,Pizza Ananá,Pizzas artesanales,33000
0534,Pan de Pizza,Pizzas artesanales,27800
0535,Vegetariana,Pizzas artesanales,32900
0536,Rúcula Crudo y Parmesano,Pizzas artesanales,34100
0537,Rúcula y Brie,Pizzas artesanales,34600
0538,Rúcula / Tomates Confitados,Pizzas artesanales,34100
0539,Palmitos,Pizzas artesanales,33900
0540,Champignon,Pizzas artesanales,33900
0541,Mediterránea,Pizzas artesanales,32900
0542,Espárragos a la Parmesana,Pizzas artesanales,33100
0543,Ananá,Pizzas artesanales,33000
0601,Calzone Napolitano (pequeño),Calzones,35800
0602,Calzón Napolitano (pequeño),Calzones,35800
0603,Calzón Percanta (pequeño),Calzones,36500
0604,Calzón Calabrés (pequeño),Calzones,35800
0605,Calzón Italiano (grande),Calzones,40500
0701,Tallarín casero,Pastas,13600
0702,Gnocchi,Pastas,13600
0703,Gnocchi rellenos,Pastas,14200
0704,Ravioles de Ricotta,Pastas,14400
0705,Ravioles de Verdura,Pastas,14400
0707,Sorrentino (Salmón),Pastas,17100
0708,Tagliatelle,Pastas,13400
0709,Tagliatelle de espinaca,Pastas,13400
0710,Spaguetti,Pastas,13400
0711,Penne Rigatti,Pastas,13600
0712,Panzotti de Calabaza,Pastas,14600
0713,Panzotti de Pollo-Funghi,Pastas,15400
0714,Cappelletti,Pastas,15400
0715,Spaghetti integral (de morrón y remolacha),Pastas,13400
