pedido,lote,fecha,hora,franja,dia_semana,tipo_entrega,codigo,producto,rubro,cantidad,precio_unitario,modificadores,extra_modificadores,total_renglon
LP-260801-S01,S,2026-08-01,21,Cena,Sábado,Delivery,1817,Uxmal Red Blend,Vinos y cervezas,1,14000,,0,14000
LP-260801-S01,S,2026-08-01,21,Cena,Sábado,Delivery,1718,Jugo Natural Grande Naranja,Bebidas,1,7300,,0,7300
LP-260801-S02,S,2026-08-01,0,Cena,Sábado,Delivery,0408,Empanada de Roquefort,Empanadas,3,3400,,0,10200
LP-260801-S02,S,2026-08-01,0,Cena,Sábado,Delivery,0818,Mongolian Beef (Picante),Carnes y pescados,1,28500,Acompañamiento: Arroz,0,28500
LP-260801-S03,S,2026-08-01,19,Merienda,Sábado,Delivery,1201,Yogurt con cereales Frutos Rojos,Desayuno y merienda,1,5100,,0,5100
LP-260801-S03,S,2026-08-01,19,Merienda,Sábado,Delivery,1313,Cuadradito: Crumble Manzana,Panadería y dulces,2,5600,,0,11200
LP-260801-S04,S,2026-08-01,22,Cena,Sábado,Delivery,0504,Pizza Mexicana,Pizzas artesanales,1,32800,Tamaño: 6 porciones,0,32800
LP-260801-S05,S,2026-08-01,21,Cena,Sábado,Delivery,0820,Wok de Vegetales,Carnes y pescados,1,20600,Acompañamiento: Arroz,0,20600
LP-260802-S01,S,2026-08-02,20,Cena,Domingo,Delivery,0804,Milanesa de Ternera,Carnes y pescados,1,21000,Guarnición: Puré de calabaza,0,21000
LP-260802-S01,S,2026-08-02,20,Cena,Domingo,Delivery,0217,Mozzarella Marinara,Entradas,1,13900,,0,13900
LP-260802-S01,S,2026-08-02,20,Cena,Domingo,Delivery,0408,Empanada de Roquefort,Empanadas,3,3400,,0,10200
LP-260802-S02,S,2026-08-02,22,Cena,Domingo,Delivery,1806,San Felipe Extra Brut (750cc),Vinos y cervezas,1,21500,,0,21500
LP-260802-S02,S,2026-08-02,22,Cena,Domingo,Delivery,0804,Milanesa de Ternera,Carnes y pescados,1,21000,Guarnición: Ensalada básica,0,21000
LP-260802-S03,S,2026-08-02,16,Merienda,Domingo,Retiro en local,1608,Café con Leche en Tazón,Cafetería,1,5300,,0,5300
LP-260802-S04,S,2026-08-02,21,Cena,Domingo,Retiro en local,0512,Pizza Fugazza Cabrona,Pizzas artesanales,2,32900,Tamaño: 8 porciones,9400,75200
LP-260802-S04,S,2026-08-02,21,Cena,Domingo,Retiro en local,0714,Cappelletti,Pastas,1,15400,Salsa: Crema de Puerros,6200,21600
LP-260802-S04,S,2026-08-02,21,Cena,Domingo,Retiro en local,0817,Trucha Ahumada,Carnes y pescados,1,27000,,0,27000
LP-260802-S05,S,2026-08-02,12,Almuerzo,Domingo,Retiro en local,0801,Ribbs Percanta,Carnes y pescados,2,26800,Guarnición: Puré de calabaza,0,53600
