rubro	producto	facturacion	unidades	precio
Carnes y pescados	Pollo Grille	314500	17	18500
Empanadas	Empanada de Carne Suave	307800	81	3800
Carnes y pescados	Milanesa de Ternera	254400	12	21000
Empanadas	Empanada de Jamón y Queso	180200	53	3400
Vinos y cervezas	Chandon Baron B. Extra Brut (750cc)	174000	3	58000
Pizzas artesanales	Pizza Mozzarella	157200	6	22600
Pastas	Spaguetti	140600	7	13400
Carnes y pescados	Pollo al Verdeo	138000	6	23000
Carnes y pescados	Merluza	132000	6	22000
Carnes y pescados	Salmón Rosado	129600	4	32400
Carnes y pescados	Ribbs Percanta	107200	4	26800
Empanadas	Empanada de Carne Picante	95000	25	3800
Carnes y pescados	Ojo de Bife	85500	3	28500
Carnes y pescados	Mongolian Beef (Picante)	85500	3	28500
Ensaladas	Caesar con Pollo	85500	5	17100
Pastas	Tallarín casero	83200	4	13600
Calzones	Calzón Italiano (grande)	81000	2	40500
Carnes y pescados	Suprema de Pollo	80400	4	19800
Carnes y pescados	Bife de Chorizo	78000	3	26000
Pizzas artesanales	Pizza Cuatro quesos	75600	2	33000
Pizzas artesanales	Pizza Fugazza Cabrona	75200	2	32900
Pizzas artesanales	Pizza Veneciana	75000	2	32800
Empanadas	Empanada de Roquefort	74800	22	3400
Pastas	Sorrentino (Salmón)	74400	3	17100
Calzones	Calzón Percanta (pequeño)	73000	2	36500
Pastas	Ravioles de Ricotta	72700	3	14400
Pizzas artesanales	Pizza Napolitana	70800	2	27200
Pastas	Tagliatelle de espinaca	69500	3	13400
Pizzas artesanales	Mediterránea	65800	2	32900
Pizzas artesanales	Pizza Roquefort	65600	2	32800
Vinos y cervezas	Trumpeter Cabernet Sauvignon	64500	3	21500
Carnes y pescados	Risotto de Vegetales	63000	3	21000
Empanadas	Empanada de Verdura	61200	18	3400
Pastas	Gnocchi	59100	3	13600
Carnes y pescados	Lomo a la Pimienta Negra	57000	2	28500
Carnes y pescados	Lomo al Champignon	57000	2	28500
Desayuno y merienda	Percanta (para compartir)	56000	2	28000
Pizzas artesanales	Pizza Jamón y morrones	55200	2	27600
Vinos y cervezas	Nicasia Malbec	54000	2	27000
Hamburguesas	Patagonia Burger	52200	3	17400
Carnes y pescados	Pollo al Curry	51600	2	25800
Ensaladas	Carpaccio de Lomo	51600	3	17200
Ensaladas	Americana con Pollo	51300	3	17100
Hamburguesas	Veggie-Burger	50400	3	16800
Sándwiches	Panini de Lomo	50400	3	16800
Vinos y cervezas	Uxmal Extra Brut - Bodega Uxmal	50000	2	25000
Empanadas	Empanada de Atún	48000	12	4000
Empanadas	Empanada de Choclo	44200	13	3400
Entradas	Tortilla de papa	43500	3	14500
Pastas	Sorrentino (Jamón y Mozzarella)	41900	2	14800
Carnes y pescados	Wok de Vegetales	41200	2	20600
Pizzas artesanales	Pizza Rúcula y Brie	39400	1	34600
Pizzas artesanales	Pizza Fugazzeta rellena	38900	1	34100
Pizzas artesanales	Rúcula Crudo y Parmesano	38900	1	34100
Pizzas artesanales	Pizza Palmitos	38600	1	33900
Pizzas artesanales	Pizza Provolone	37600	1	32900
Desayuno y merienda	Deportivo	37200	3	12400
Pizzas artesanales	Pizza Sorrentina	35800	1	27500
Pizzas artesanales	Pizza Fugazza con mozzarella	35400	1	27200
Pizzas artesanales	Rúcula y Brie	34600	1	34600
Hamburguesas	Mex-Burger	34400	2	17200
Pizzas artesanales	Pizza Atún	34100	1	34100
Pizzas artesanales	Champignon	33900	1	33900
Hamburguesas	Classic-Burger	33600	2	16800
Pizzas artesanales	Espárragos a la Parmesana	33100	1	33100
Pizzas artesanales	Ananá	33000	1	33000
Pizzas artesanales	Pizza Mexicana	32800	1	32800
Desayuno y merienda	Yogurt con cereales Frutos Rojos	30600	6	5100
Entradas	Pinchos de pollo grillados (Salsa Tártara)	29600	2	14800
Entradas	Omelette Especial	29000	2	14500
Empanadas	Empanada de Pollo	28000	8	3500
Carnes y pescados	Medallón de Lomo	28000	1	28000
Vinos y cervezas	Saint Felicien Cabernet-Merlot 2005	28000	1	28000
Panadería y dulces	Tostada Pan Integral, Palta y huevo poché	27900	3	9300
Entradas	Papas Bravas o Tranquilas (Cheddar fundido)	27800	2	13900
Entradas	Mozzarella Marinara	27800	2	13900
Carnes y pescados	Risotto al Frutti di Mare	27800	1	27800
Carnes y pescados	Trucha Ahumada	27000	1	27000
Carnes y pescados	American Ribbs	26800	1	26800
Bebidas	Sprite Zero	25200	6	4200
Vinos y cervezas	Alamos Chardonnay	24000	1	24000
Carnes y pescados	Risotto Pollo	23000	1	23000
Desayuno y merienda	Detox (Licuado)	22800	3	7600
